sentiment,id,date,query,user,text
4,1469290435,Tue Apr 07 05:54:13 PDT 2009,NO_QUERY,kourtnie,@savagestar That would be cute 
4,1960649347,Fri May 29 08:17:34 PDT 2009,NO_QUERY,mandygrl334,yay! I'm leaving for Dallas! @cutekiwi you are still invited! 
4,2059249152,Sat Jun 06 16:32:55 PDT 2009,NO_QUERY,reverieBR,@suzanne_young it's nice isn't it... *pets shelf of pretty books* its just missing urs!!  lol
0,1834824104,Mon May 18 04:19:15 PDT 2009,NO_QUERY,rmappleby,@andysc Probably just different. Welcome to proprietary driver development 
4,2181448440,Mon Jun 15 11:50:30 PDT 2009,NO_QUERY,clappingghosts,i missed wearing jeans 
0,1470088461,Tue Apr 07 08:18:48 PDT 2009,NO_QUERY,ATLRedd,Never went 2 sleep...  and i got class at 2... i need 2 do dis homework...errrr
4,2062444856,Sat Jun 06 23:15:05 PDT 2009,NO_QUERY,MNC89,is watching Titanic 
4,2178860022,Mon Jun 15 08:18:29 PDT 2009,NO_QUERY,ohnmachtf,@saturnboy good job!  So pretty 
4,2051208014,Fri Jun 05 21:07:38 PDT 2009,NO_QUERY,Julz4pink,yay twitter is back  i'm glad i was only awake for 4 minutes of this maintenance crap.
4,1881179620,Fri May 22 03:51:54 PDT 2009,NO_QUERY,tarawade,Is lookin 4ward to a long weekend  really dont want to go to work 2day tho =[ x
4,2007746950,Tue Jun 02 13:05:34 PDT 2009,NO_QUERY,gennstone,@sunnarose yay for the return of teaser tuesday 
0,2321477626,Wed Jun 24 21:06:42 PDT 2009,NO_QUERY,kRySunique,@MzDeDaze no i havent 
4,2182971369,Mon Jun 15 13:52:38 PDT 2009,NO_QUERY,SvenjaZoe,i have far to many random updates than im never gonna reaad and HEIIII CHANNELLLE 
4,1695194032,Mon May 04 05:28:59 PDT 2009,NO_QUERY,LiviAtherton,i'm yours - jason mraz....looking for an electric guitar  yay!!!1
4,2190870097,Tue Jun 16 03:57:07 PDT 2009,NO_QUERY,xxvannyxx,"Plan for today: have a bath, get ready, eat, get to the garden &amp; get drunk - and then tomorrow it's my bday at last "
4,1992771894,Mon Jun 01 09:17:46 PDT 2009,NO_QUERY,MimFox,"@Wossy yeah, and flock of seagulls haircuts "
0,1824947607,Sun May 17 03:39:19 PDT 2009,NO_QUERY,hollicebear,I already miss my bear. 
4,1982348308,Sun May 31 11:01:47 PDT 2009,NO_QUERY,BluePhoenix1,"@jordanknight either way, it'll be exciting for them. "
4,1970747710,Sat May 30 05:04:11 PDT 2009,NO_QUERY,CrisN73,"bum notes: guess what, I'm now watching MMK. Those TV shows in the buses must have some effect on my tolerance for local TV channels.  "
4,2186811847,Mon Jun 15 19:22:19 PDT 2009,NO_QUERY,Rahilya,Accompany Zakir to do his passport today 4 cousin wedding on Saturday. Need to eat more.I'm getting thinner again.. 'lol' Stresshead... 
4,1984260395,Sun May 31 14:45:27 PDT 2009,NO_QUERY,Heather_Carlson,"Good talk with mom, now off to spend time with some friends! "
4,1981504403,Sun May 31 09:17:34 PDT 2009,NO_QUERY,drarps,@ankurjain84 i like to remember it as M goes with M ie Mallory Weiss is the Mucosal tear. Then the other one's the other one. 
4,1988817517,Sun May 31 23:27:44 PDT 2009,NO_QUERY,becki_bridge,Following P!nk  (L)(L)
0,2252561423,Sat Jun 20 06:32:03 PDT 2009,NO_QUERY,matt467,"wish a never got the daft tattoo, a canny sunbed  lol"
0,2261441236,Sat Jun 20 20:47:47 PDT 2009,NO_QUERY,DiyanaRazinah,"@f_nadzirah cant sleep,go online! hahaha @bobbyden and @faidchong misses you too "
0,2203443747,Tue Jun 16 23:45:12 PDT 2009,NO_QUERY,alicerydon,I need a hug...and less cynicism. It's making me depressed. 
0,2215611200,Wed Jun 17 18:22:27 PDT 2009,NO_QUERY,Liverpoolu,Live tweet streaming on #Sytycd .. I miss Dena and Lisa 
4,2001730795,Tue Jun 02 01:52:41 PDT 2009,NO_QUERY,buffdavamp,@nikkifirth aren't the 1st morning tweets the most excitables 
4,1994720679,Mon Jun 01 12:21:12 PDT 2009,NO_QUERY,MariaSimone,...I personally had my fill of the Sister Mary Margaret(s) something or other. 12 yrs of catholic school...so done. 
0,1995242764,Mon Jun 01 13:10:42 PDT 2009,NO_QUERY,fabiankr,@metawops It depends on how much followers you have... 
4,2014091638,Wed Jun 03 00:26:05 PDT 2009,NO_QUERY,Recamel,@TheSUPERGIRL Maybe ill make a video and show ya what this beautiful place is all about 
4,2065542152,Sun Jun 07 08:48:33 PDT 2009,NO_QUERY,JennifferJanna,Jenson Button - 6 wins from 7 races!!!!!!!   Hope he can keep it up at Silverstone  lol http://is.gd/RHUo
0,1969255104,Fri May 29 23:28:21 PDT 2009,NO_QUERY,BeeRob504,man!! oh wellthis was wasted gas...i need a life and a new place of residency....Tay + company = me and the sofa.... 
0,2060305699,Sat Jun 06 18:39:28 PDT 2009,NO_QUERY,satyr405,"@GimmeTOKYO that... Actually looks pretty cool, I wanna play too "
0,2000977193,Mon Jun 01 23:29:17 PDT 2009,NO_QUERY,itzkeylovebaby,Im having weight issues  im upset and scared. [AyshiakiAyana]
0,2058754696,Sat Jun 06 15:33:55 PDT 2009,NO_QUERY,autbabe0428,Home from work... Was missing my maddie bug   Now off to put clothes away and make our bed!!! Maybe sleep in it tonight!!!
0,2055097944,Sat Jun 06 08:41:37 PDT 2009,NO_QUERY,pinkykei,needs heLp from a wordpress theme expert  http://plurk.com/p/ywsk3
0,2247489736,Fri Jun 19 19:10:27 PDT 2009,NO_QUERY,sashawintafruit,"@YourTheCutest nope, thats what i didnt get to have tonight "
0,2000611239,Mon Jun 01 22:30:58 PDT 2009,NO_QUERY,setpihi,@mitchelmusso I can't buy the album. I'm sad.  Reason: Australia. Need I say more? Congrats tho and all the best of luck!! &lt;3
0,2055380782,Sat Jun 06 09:12:40 PDT 2009,NO_QUERY,wholesick,@victoria_tweed opted for a corona - it was a mistake. my headache just got a million times worse 
4,2190105400,Tue Jun 16 01:46:57 PDT 2009,NO_QUERY,yep1guy,right after being distracted by @loadingreadyrun 's wiki ive decided to start getting on with some of @weirdo_films video stuff 
0,2062103282,Sat Jun 06 22:20:39 PDT 2009,NO_QUERY,LucaPants,@ceejux: whenever i get the chance. I work and have no car 
0,2057776317,Sat Jun 06 13:38:23 PDT 2009,NO_QUERY,DELSKI0705,Just finished the first day of training with Sir Manci. Learned a lot today and the training was great. Back to work tomorrow 
4,2016178810,Wed Jun 03 06:18:58 PDT 2009,NO_QUERY,patriciaxo,@ cheskalabbyu  thanks for following  take care ♥
4,1753518716,Sun May 10 02:02:41 PDT 2009,NO_QUERY,londicreations,"@scottrmcgrew I know sleep is so over rated! who needs it, right! "
0,2184662547,Mon Jun 15 16:14:10 PDT 2009,NO_QUERY,natneagle,@gypsydancer13 wow girl look at that old phone in the pic! you look cute with bangs! HOW do you get the ringlets? not like I can do it  ha
4,1970560433,Sat May 30 04:21:21 PDT 2009,NO_QUERY,itsJESSMCMAHON,@BeckyFearns hahaha :') okay.. i hopeee you loooose  oh and i pre orderd new jb album  and burnin up book and rolling stone posterr  x
0,2189325064,Mon Jun 15 23:46:35 PDT 2009,NO_QUERY,parastoo,7 killed in Tehran yesterday? http://edition.cnn.com/2009/WORLD/meast/06/16/iran.elections.protests/index.html  #IranElection
4,2052791404,Sat Jun 06 02:02:15 PDT 2009,NO_QUERY,Fluffy_Cupycake,@SingmySorrow i have for itunes.. i can burn you the itunes copy if you want 
4,1978119240,Sat May 30 22:29:33 PDT 2009,NO_QUERY,SKILLETfan01,@SkiptheZip Thanks.  Hahah well hopefully your internet gets fixed soon...
0,2322552197,Wed Jun 24 22:49:26 PDT 2009,NO_QUERY,ZhuhaiNights,Can't access Google in China - BOO     Guess I've gotta us MS's new www.bing.com  meh.
0,2065197749,Sun Jun 07 08:06:10 PDT 2009,NO_QUERY,gabrielsoaresbr,wake up early tomorrow . 
0,2206174181,Wed Jun 17 06:07:32 PDT 2009,NO_QUERY,ZaLord,@hazemtaji Did you buy a PS3? My xbox360 got the RROD 
0,2065618215,Sun Jun 07 08:57:49 PDT 2009,NO_QUERY,Christinahahaha,Also doesn't help that it is an absolutely gorgeous Boston day (mid 70s) AND @stacey_a_allen invited me to her sister's grad party. 
0,2054430450,Sat Jun 06 07:20:09 PDT 2009,NO_QUERY,mlv,Twitpic on twitterberry's not working. Says file type not supported. 
0,1685528565,Sun May 03 00:48:12 PDT 2009,NO_QUERY,UneeQ12,workin the graveyard shift 
0,1981408276,Sun May 31 09:05:23 PDT 2009,NO_QUERY,HayleyIB,"To atascadeo! Again for practice  text, tweet, myspace."
0,2327534817,Thu Jun 25 08:28:12 PDT 2009,NO_QUERY,6firefly,Twitter is .... somehow borring... 
0,1956657912,Thu May 28 22:22:26 PDT 2009,NO_QUERY,stephaaniemarie,Cuddling with Sammy before I leave him until Sunday  My baaaby!
4,1677976123,Sat May 02 04:56:58 PDT 2009,NO_QUERY,jiriteach,@Jo6789 Indeed I do.  http://bit.ly/Iw9j9. Then again we are ESRI NZ  Estimating customers in NZ should recieve it sometime in June.
4,1969415317,Fri May 29 23:58:13 PDT 2009,NO_QUERY,brettcarr,"Lovely day in Abingdon, driving to North Yorkshire as soon as we've got everything together, hope Sun stays with us "
0,2213045674,Wed Jun 17 14:51:56 PDT 2009,NO_QUERY,Caandicee,Need To Start Revising Physics 
4,1882562222,Fri May 22 07:05:40 PDT 2009,NO_QUERY,jimsissy,@OnlinePublicist Thank you 
4,1795269783,Thu May 14 07:28:17 PDT 2009,NO_QUERY,Q101Chicago,"Saw the Hawks' Dustin Byfuglien, Kris Versteeg &amp; Colin Fraser out in the neighborhood on this kick ass Thursday morn. Conference Finals "
0,2221978086,Thu Jun 18 06:18:31 PDT 2009,NO_QUERY,happyhero,"@darlingnikki08 I'm fine thankyou, apart from a bit of hayfever   How are you doing?"
4,2187093130,Mon Jun 15 19:46:47 PDT 2009,NO_QUERY,KelsiBramlett,@mileycyrus i voted for you! hope you win some great awards! good luck!!! and praying for you!!! 
0,1823219127,Sat May 16 21:24:13 PDT 2009,NO_QUERY,MsBailes,"I just wanna fall asleep, why do you call randomly and mess up my brain process for a night?!! I just want my serenity back "
0,1827677663,Sun May 17 11:12:58 PDT 2009,NO_QUERY,Portabass,@elliotmacaluso I opened.... without you 
4,2001710531,Tue Jun 02 01:48:28 PDT 2009,NO_QUERY,L33tGeek,No one on Twitter has #goodsex. You can all pretend. 
0,2215147702,Wed Jun 17 17:44:33 PDT 2009,NO_QUERY,oldergirlbeauty,"@mallybeauty Can. Not. Wait!  I will stay up to see what goodies you bring, since I am still waitlisted for you TSV.  "
4,2063347844,Sun Jun 07 02:17:45 PDT 2009,NO_QUERY,kimbo7100,@spyn Yeah they are quite uncommon. I only know of them thanks to Gran Turismo 
0,2240290848,Fri Jun 19 09:34:10 PDT 2009,NO_QUERY,marisasmile,I really want to see Boys Like Girls tonight! 
4,1559579870,Sun Apr 19 11:30:45 PDT 2009,NO_QUERY,ela_bee,BRITNEY SPEARS IS FOLLOWING ME!!!!! how cool I should improve my twitters 
4,2001790842,Tue Jun 02 02:05:05 PDT 2009,NO_QUERY,julieannequinn,On my way to @wesleyshearer's for breakfast 
0,1974813267,Sat May 30 13:53:28 PDT 2009,NO_QUERY,magaliface,on my way to work.  ihop tonight with ezelle!
0,1553272282,Sat Apr 18 13:49:36 PDT 2009,NO_QUERY,stephamichele,@hansonmusic I wish the fan event in Tulsa was NOT during my college graduation  miss you guys!
4,1834544048,Mon May 18 03:20:18 PDT 2009,NO_QUERY,amiee_,im putting skins on my ipod 
0,2063987732,Sun Jun 07 04:50:17 PDT 2009,NO_QUERY,Dot12b,@caldjr aw hope you feel better soon 
0,1824298166,Sun May 17 00:47:50 PDT 2009,NO_QUERY,ImSOposh,I guess alls well that ends well...I'm still single for the record lol. Leaving Cleveland will be bittersweet to 
4,1993330617,Mon Jun 01 10:12:17 PDT 2009,NO_QUERY,sjkennedy,@binged love the Twitter handle.   Is  this intended to provide support for all Bing addicts.  I feel like binging on #Bing. 
4,2184485316,Mon Jun 15 15:58:54 PDT 2009,NO_QUERY,ninjasteph,No santigold for me tonight. work til 10 and I'm off tomorrow 
4,2046752375,Fri Jun 05 12:38:27 PDT 2009,NO_QUERY,MsJemily,"and to clear it up...this wasn't an insult...  love ya  (could you say to clear sth up...also, etwas klarstellen ? )"
4,2001724064,Tue Jun 02 01:51:15 PDT 2009,NO_QUERY,SpiderxBear,@caseysevenfold oh ok   come 2 the venue early? 
4,2039936891,Thu Jun 04 23:11:29 PDT 2009,NO_QUERY,gamergrrl,"@Aerliss If you find any, let me know.  All I ever find is manga."
4,2177211898,Mon Jun 15 05:40:47 PDT 2009,NO_QUERY,Manduh_Marie,Cousins graduation 
0,1548318427,Fri Apr 17 20:37:29 PDT 2009,NO_QUERY,CFOServices,@GirlswithGoals I'm sorry to hear about the death of your beloved canine 
4,1979645709,Sun May 31 03:55:59 PDT 2009,NO_QUERY,danboarder,@virtualoptions yes @odemagazine is on Twitter 
4,1956587543,Thu May 28 22:12:28 PDT 2009,NO_QUERY,jellybeaniee,@itsmeleighton hey leighton! how are you? i really like your songs!  you're such a great actress  take care!
4,2003246307,Tue Jun 02 06:10:17 PDT 2009,NO_QUERY,shelliefiocca,"@ work early, emptied the dishwasher, cleaned the kitchen, and made coffee....and its only 10 after 8. "
0,2238755096,Fri Jun 19 07:41:54 PDT 2009,NO_QUERY,nick_nc19,"im soooo bored right now.,.,.,!! "
4,2049691162,Fri Jun 05 17:19:37 PDT 2009,NO_QUERY,KaitlinRussy,lazy friday night with my chicas 
4,2062120586,Sat Jun 06 22:23:10 PDT 2009,NO_QUERY,ChelseaPompeani,kenny chesney concert was amazing!! i LOVE sugarland! 
0,2179618494,Mon Jun 15 09:21:03 PDT 2009,NO_QUERY,geisha88,just finished bade..... surfing online... nutn much to do 
4,1696218489,Mon May 04 07:51:06 PDT 2009,NO_QUERY,adrinux,"@martinb9999 need to get an intel based mac 1st   but this impacts on dual core vs quad choice, latter probably better for virtualization"
4,2018509586,Wed Jun 03 10:04:35 PDT 2009,NO_QUERY,visforvalerie,"@LorraineStanick Oh that's cool. My ex had a band, so I spent a lot of time home alone... At least you're bein productive tonite "
0,2201249175,Tue Jun 16 20:00:46 PDT 2009,NO_QUERY,kidevans,"@SSnet dope track, but no download? "
0,2228087087,Thu Jun 18 14:00:19 PDT 2009,NO_QUERY,AWNG,"Im in da library, noelle and Kayla and connie just left. should i? maybe cuz im really bored. noone 2 chat and laugh with. "
4,2013343147,Tue Jun 02 22:27:04 PDT 2009,NO_QUERY,candy008,"@lollipopup That's fine. Better than keeping it dead, right? "
4,2001674627,Tue Jun 02 01:40:56 PDT 2009,NO_QUERY,thisgoeshere,"@fadedmoon wow. i will need to adjust my sleep. or just wake up like this. at odd times.  well i do that anyway, its how i roll hehe "
4,2057496192,Sat Jun 06 13:06:44 PDT 2009,NO_QUERY,boo_bowglin,time to enjoy what's left of the weekend after a day in work...homemade pizza for tea &amp; cannot wait for a lie in tomorrow 
4,1970486575,Sat May 30 04:03:43 PDT 2009,NO_QUERY,jayegan,@F1_Girl  Well  I guess he has had a fair few silverstone specials  already   Going off your profile pic your a Lewis fan?
4,2187839616,Mon Jun 15 20:53:11 PDT 2009,NO_QUERY,SONGSTR3SS,@Myke329 MAD LATE But GOOD LUCK 
0,1976810935,Sat May 30 19:08:44 PDT 2009,NO_QUERY,scienceofsleep,@amytheallen no... 19  I'd assume they'd check if I actually DID win something
4,1752087839,Sat May 09 21:01:19 PDT 2009,NO_QUERY,alekandsteph,@mkeguy69 thank you  have a great weekend
4,1753366184,Sun May 10 01:17:14 PDT 2009,NO_QUERY,MisaMadness,"@BrandenHaydon Yes, I really do. "
0,2239560993,Fri Jun 19 08:41:36 PDT 2009,NO_QUERY,simpletosayamy,dang i thought the Jonas Brother's were done performing but there was more. Dang i'm an idiot.  i guess youtube.
4,1552036698,Sat Apr 18 10:37:17 PDT 2009,NO_QUERY,Nicoolle,"damn, i haven't read any more of breaking dawn, but i've got loads of piano music  might just go and experiment with them ......."
0,2216838047,Wed Jun 17 20:02:12 PDT 2009,NO_QUERY,Balasi,I am craving for japanese food 
0,2245363011,Fri Jun 19 16:01:35 PDT 2009,NO_QUERY,Shawn0lee2,@DIVACANDICEM - Candice i dont mean to bother you but im really sad that u got released! 
4,2004046033,Tue Jun 02 07:34:43 PDT 2009,NO_QUERY,HeatherShea,@stacey_baby good morning girlie  How are you? xo
4,1983502330,Sun May 31 13:16:45 PDT 2009,NO_QUERY,rightwingyp,Now a days it's not good to be married to a liberal I already stay in trouble 4 not agreeing with her even more so now 
0,2187289677,Mon Jun 15 20:04:00 PDT 2009,NO_QUERY,manderrs,"reading a few chapters of choke, sleep, work. i still feel like shit. "
0,2262838342,Sat Jun 20 23:20:43 PDT 2009,NO_QUERY,krisldavis,"crappy day turned awesome at work, only to come home to discover that my chico dog is sick "
4,2187321745,Mon Jun 15 20:06:43 PDT 2009,NO_QUERY,kulpreetsingh,@DebbyBruck beautiful! when children smile the world smiles 
4,1979606588,Sun May 31 03:46:23 PDT 2009,NO_QUERY,PanicJulz,last night was well good  Charlotte &amp; Imogens are awesome.
4,2176469869,Mon Jun 15 03:57:51 PDT 2009,NO_QUERY,ahvey,"and after all, you're my wonderwall "
4,2064505980,Sun Jun 07 06:27:15 PDT 2009,NO_QUERY,LaylaNatalie,@Elijahbutterz got any pics of the whole jacket? 
0,2231750738,Thu Jun 18 18:58:56 PDT 2009,NO_QUERY,mikeinsd77,"ooooo that sandwich I had just isn't sitting well.....Haven't felt good at all today, shouldn't of eaten "
0,1990598772,Mon Jun 01 05:17:13 PDT 2009,NO_QUERY,Bacon25,@_misshannah damn you !!!  that's properly unfair!
4,2053074174,Sat Jun 06 03:10:08 PDT 2009,NO_QUERY,krisignacio,@hillsongunited can't wait to worship with you guys tonight. it'll be so much fun 
4,1834385759,Mon May 18 02:44:05 PDT 2009,NO_QUERY,MealieMeals,Mmmm slim fast and a fruit cup... Yummy breakfast 
0,1468617899,Tue Apr 07 02:45:41 PDT 2009,NO_QUERY,jaredgunter,Up since 3:00. Going to be a looooong day. 
4,1991385785,Mon Jun 01 06:56:44 PDT 2009,NO_QUERY,janiek1981,got back from hastings/bexhill last night - brill wknd got a little bit burnt - ooops 
4,2176359475,Mon Jun 15 03:39:35 PDT 2009,NO_QUERY,mkg81,@travismcglasson Some really awesome girls... 
0,2071809015,Sun Jun 07 19:57:26 PDT 2009,NO_QUERY,minemogul3,disappointed  signing off
0,2264057188,Sun Jun 21 02:38:44 PDT 2009,NO_QUERY,CannonGod,"@hannahnicklin Aw, sorry to hear that  And it seemed so full of life yesterday! Tbh the USB went on a friends WinMob phone. Hmmm :-\"
4,2047986631,Fri Jun 05 14:29:11 PDT 2009,NO_QUERY,AnnSue,@common Hey !! XOXO 
0,1690941467,Sun May 03 16:43:52 PDT 2009,NO_QUERY,Lmorris22,@JefferyPatch LOL definantly not hot haha. And I would for sure cry if u kicked my unhealed boobs 
0,2257737522,Sat Jun 20 14:48:50 PDT 2009,NO_QUERY,mharagao,@mcflymusic say happy birthday nanda to @nanda_marinho please 
4,1548701182,Fri Apr 17 21:42:27 PDT 2009,NO_QUERY,lmpotter,"@zownder Fun, my daughter also lead her CS team  I love girl gamers!!!"
4,1962676569,Fri May 29 11:26:47 PDT 2009,NO_QUERY,nothoney,"@ad_infinitum Why yes, I can. The Ultimate Vegan Guide by Eric Marcus: http://bit.ly/rQp7n You can always ask me anything, you know. "
0,2206152008,Wed Jun 17 06:05:23 PDT 2009,NO_QUERY,sydlawrence,well done http://www.nationalrail.co.uk/ doing an excellent job yet again 
4,1964733891,Fri May 29 14:42:58 PDT 2009,NO_QUERY,curious_maxii,@mileycyrus http://twitpic.com/67hac - Looks like you guys were having fun 
4,2175933428,Mon Jun 15 02:25:25 PDT 2009,NO_QUERY,mechanicmind,@VasiVallis Vienna Bounce  *bounce-bounce*
4,2054087843,Sat Jun 06 06:31:31 PDT 2009,NO_QUERY,katyyhiyaa,Today shall be great 
0,1694635976,Mon May 04 03:30:27 PDT 2009,NO_QUERY,NicolePones,i think i have an eye infection 
4,2002203996,Tue Jun 02 03:29:34 PDT 2009,NO_QUERY,Emily_TeamJodie,"going to sainsburys n then cutteslowe after ,by the way this message is sent through txt not web  x"
4,1835472927,Mon May 18 06:04:16 PDT 2009,NO_QUERY,NikkiMK,@sitleclark thanks. 
4,1963354107,Fri May 29 12:35:46 PDT 2009,NO_QUERY,directorsara,@susanforshner  that exciting huh!!
0,2326866322,Thu Jun 25 07:36:53 PDT 2009,NO_QUERY,jill777,@DonnieWahlberg Morning! Will you @jasonjmikemgmt be giving out tix to houston as well??  i want 2 make the trip &amp; there is sh*t left! 
4,2192535434,Tue Jun 16 07:10:52 PDT 2009,NO_QUERY,kendroboto,@jasondilts That's awesome.  
4,1999434525,Mon Jun 01 20:12:41 PDT 2009,NO_QUERY,Wyldceltic1,@likeSunday  One needs to go further up the road. It's only a bit farther than where you're at 
0,1677492363,Sat May 02 02:21:59 PDT 2009,NO_QUERY,silentloner,My head isn't healing well it feels that way 
0,2189700092,Tue Jun 16 00:40:50 PDT 2009,NO_QUERY,Nicolee09x,"@DanggItsDevin hahar, whaaat concert youu goiing too? man yourr lucky  youu couldnt go &amp;&amp; not geht me anything ahar. "
4,2001623985,Tue Jun 02 01:30:25 PDT 2009,NO_QUERY,MandyPandy32,@Mennard You're welcome...most enjoyable to read  x
0,2196745761,Tue Jun 16 12:52:39 PDT 2009,NO_QUERY,kiers94,packing up my room 
0,1968239058,Fri May 29 21:02:13 PDT 2009,NO_QUERY,Queensowntalia,Saw Walk the Line tonight.Never heard much Cash before.I could definitely appreciate this.Why do I only &quot;discover&quot; artists after they die 
0,2052005752,Fri Jun 05 23:23:15 PDT 2009,NO_QUERY,RisaRM,@imcute519 grr I know!!! And especially m/u tutorials. It's like damn! I just put all this on for no reason 
4,1834940167,Mon May 18 04:40:40 PDT 2009,NO_QUERY,CoConutShelle,Is watchin her burger n chips being cookd lol  x
0,2323252014,Thu Jun 25 00:13:53 PDT 2009,NO_QUERY,xxellenx,this flat hunting malarky is rubbish 
